imdb_id,score,notes,title,year,tmdb_score
tt0816692,9,"A metaphysical masterpiece by Nolan who's cementing is role of deep, soulful  and visually striking movies creator. Real Cinema, serious topic, strong acting performance and sublim direction. Matthew, Jessica and Anne are great, that's why the movies work great. A MUST SEEN, get to work and rewatch if you are already initiated !",Interstellar,2014,8.467
tt0133093,10,"Peak existential sci-fi. Matrix was so impactful that we can fairly say that there was a world before Matrix and a brand new one right after the release. From Theatre to 4K Blu-Ray, this movie is the apogée of everything we expect + executed in a visual style that has never been seen before. Wether you fall in love with Trinity or want more pills from Morpheus, Matrix will take you to the next level of consciousness. Be ready for the escape, the elevation, the initiation. ",The Matrix,1999,8.238
tt1375666,9,"Nolan Mind Bugging Thoughts architecture at its finest. Intricated realities, quantum feeling, cognitive space exploration, let's goooooooo. Different type of entertainment and it works just great. Strong Cast, Strong Direction, just sit back, relax and enjoy.  Absynth drinkers, it's time to deploy the elixir.",Inception,2010,8.37
tt0367594,2,Who cares ?,Charlie and the Chocolate Factory,2005,7.039
tt0111161,10,"Friendship, Strategy, Hierarchy, IQ segregation, escape, freedom. If not seen, just jump on it before I jump on you !!!",The Shawshank Redemption,1994,8.715
tt0110912,10,"FOOLISH BABY !!! This is what Cinema is about. Quentin at his best, Travolta come-back and Uma Thurman Dark Haircut will get you were you need to be, because we both know you are NOT where you're supposed to be !!!",Pulp Fiction,1994,8.486
tt0468569,10,"IMAX. Thanks Christopher, thanks again. DARK - DEEP - DOMINATING. Yes it's the TRIPLE D Fellas ! Not your average Hero Movies, actually this movie is a BIG FUCK YOU to all the bullshit super hero movies, fuck Marvel and fuck you too !",The Dark Knight,2008,8.526
tt0108052,,,Schindler's List,1993,8.567
tt0137523,,,Fight Club,1999,8.438
tt0109830,,,Forrest Gump,1994,8.462
tt0068646,10,,The Godfather,1972,9.2
tt0112857,8,,Devil in a Blue Dress,1995,6.8
tt13375076,9,,The Pope's Exorcist,2023,6.1
tt0120660,9,,Enemy of the State,1998,7.3
tt0102926,10,,The Silence of the Lambs,1991,8.6
tt0120815,10,,Saving Private Ryan,1998,8.6
tt0101272,6,,The Addams Family,1991,7
tt1800241,9,,American Hustle,2013,7.2
tt0047528,10,,La Strada,1954,8
tt0040866,9,,La Terra Trema,1948,7.8
tt10128846,9,,Megalopolis,2024,4.7
tt0106489,7,,A Bronx Tale,1993,7.8
tt0119488,9,,L.A. Confidential,1997,8.2
tt0120915,7,,Star Wars: Episode I - The Phantom Menace,1999,6.5
tt0235198,7,,Audition,1999,7.1
tt0081398,10,,Raging Bull,1980,8.1
tt0159365,9,,Cold Mountain,2003,7.2
tt0119223,8,,Great Expectations,1998,6.8
tt0091605,9,,The Name of the Rose,1986,7.7
tt0113277,9,,Heat,1995,8.3
tt0107808,8,,A Perfect World,1993,7.5
tt0106519,8,,Carlito's Way,1993,7.9
tt0054189,9,,Purple Noon,1960,7.7
tt0181852,2,,Terminator 3: Rise of the Machines,2003,6.3
tt0120689,8,,The Green Mile,1999,8.6
tt1392214,9,,Prisoners,2013,8.2
tt0343818,7,,"I, Robot",2004,7.1
